special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-10-21,38,It’s Just Begun,The Jimmy Castor Bunch,,,Hot and greasy,,,
,,,,2008-10-21,39,Evil Plot To Blow Up Batman,Neal Hefti,,,"Composer of Batman theme song, died last week",,,
,,,,2008-10-21,40,Baha-Ree-Bah,Lailka and the Cosmonauts,,,As threatened!,,,
,,,,2008-10-21,41,BREAK,,,,BREAK,X,,
,,,,2008-10-21,42,Saint Behind The Glass,Los Lobos,,,Another track heard on Napoleon Dynamite,,,
,,,,2008-10-21,43,Sleep Deprivation,Pinback,,,How’s I’m Feelings!,,,
,,,,2008-10-21,44,Satellite,Robyn Hitchcock,,,Jerky little canister of gold,,,
,,,,2008-10-21,45,BREAK,,,,BREAK,X,,
,,,,2008-10-21,46,Parallel Crossing,Dancing Drums,,,Good night!,,,
,,,,2008-10-28,00,Playlist for 2008-10-28,,,,,X,,
,,,,2008-10-28,01,Corner Soul,Ethan Lipton,,,From the awesome Sandinista Project,,,
,,,,2008-10-28,02,BREAK,,,,BREAK,X,,
,,,,2008-10-28,03,Euro Trash Girl,Chicks on Speed,,,Dry Silicon Cracker,,,
,,,,2008-10-28,04,Devil’s Side,Shake,,,Psychedelic!,,,
,,,,2008-10-28,05,Out My Eyes,Moore Brothers ,,,So Beatles,,,
,,,,2008-10-28,06,BREAK,,,,BREAK,X,,
,,,,2008-10-28,07,Where Is My Mind?,Raz Ohara,,,Stuck in my head all day. Thanks Nick!,,,
,,,,2008-10-28,08,Soft Velvety ‘Fer,MC Honky,,,Frightening dream,,,
,,,,2008-10-28,09,Mess Around,Ray Charles,,,,,,
,,,,2008-10-28,10,BREAK,,,,BREAK,X,,
